  pass   provB REAL_after |  current      err | proposed     err
  1050  440417     117948 |   262901  +144953 |   123880   +5932
  2123  596569     150000 |   346485  +196485 |   163368  +13368
  2929  359569      85869 |   146528   +60659 |    90151   +4282
  3998  511300     157832 |   137856   -19976 |   106570  -51262
  4660  600031     157562 |   355063  +197501 |   173659  +16097
  5439  600050     161098 |   361292  +200194 |   176951  +15853
  6865  590412      87684 |   134329   +46645 |    85935   -1749
  7979  600035     130702 |   355313  +224611 |   145152  +14450
  8982  586520     127835 |   323138  +195303 |   134809   +6974
  9954  546458     311220 |   418953  +107733 |   327409  +16189

mean abs error  current=  139,406   proposed=   14,616
